"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R2G5852G85OQXK","Chris Prichard","https://www.amazon.com/gp/profile/amzn1.account.AG7RD6JDA6I2TDRPDD5NKLR46JIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2G5852G85OQXK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","These are amazing headphones! Sound quality is great, the case charges the ear buds so you don't need to charge the case as much, it holds a battery for a long while (I charge mine probably once a week and use them daily), the ear buds are magnetic so they glide smoothly into the case, they have touch functions on each ear bud (read manual for how to use), they are comfortable, they automatically connect via Bluetooth when you open the case so easy-to-use for sure and best of all they're cheaper than Beats. My husband has a pair of Beats earbuds and I'd say these work just as well as his but fraction of the price. And I don't need to download some app to use them like I would for Beats. Just easy Bluetooth connectivity!<br>The percentage number is how charged the case is and the bars on the left and right of that are to show how charged each ear bud is.<br>I LOVE them!","Reviewed in the United States on June 28, 2024","Color: Black","Verified Purchase","6 people found this helpful","","","[]","[]"
"RNCSDEH32IZY8","uzkimes","https://www.amazon.com/gp/profile/amzn1.account.AGWWBGIDVJJZDSSJPRPAPNMECRFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RNCSDEH32IZY8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","sound quality is surprisingly good,charges fast and it lasts all day. sits comfortably in the ear,comes with 3 different size silicone parts that go into the ear. Arrived defective with touch button not working,but customer service responded very fast and shipped a replacement. To sum up,great product at a great price and customer service is excellent. I do recommend it","Reviewed in the United States on June 19, 2024","Color: Black","Verified Purchase","2 people found this helpful","","","[]","[]"
"R30PLPR0WV7L9C","Ryles","https://www.amazon.com/gp/profile/amzn1.account.AFSR3NYPEPF2CLVWQEH7VCDFXFSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R30PLPR0WV7L9C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","First, the pros:<br>Sound quality is great but not very loud. I wouldn't recommend if you're working in a noisy environment. Otherwise, great sound.<br>They're very comfortable and don't fall out of my ears easily which is especially good since I have cauliflower ear.<br>Battery life seems decent and the range is as expected.<br><br>Cons:<br>The touch sensitive buttons don't work at all. I mean literally at all. There's no way to pause audio, hang up a phone call or even shut off my pair of headphones without putting them in the charging case or picking up the phone. I don't know who thought it was a good idea to put touch sensors in such a tiny piece of hardware. Just put a real button on it. Please.<br><br>I would only say it was a good value because there was a coupon available that saved me $10 but if not for that I would be very disappointed in the value.<br><br>All that said, they still work alright and I really need earbuds right now so I can deal with no buttons for now.<br><br>UPDATE: The manufacturer reached out and sent me a new replacement pair to make up for malfunctioning buttons on my first pair. Honestly, they work great and for a touch sensor button I find that I don't accidentally press it like I have done in the past with different ear buds. All in all these are great value, the sound quality is nice and the seller takes care of their customers.","Reviewed in the United States on May 4, 2024","Color: Black","Verified Purchase","45 people found this helpful","","","[]","[]"
"R1SLQLH5MBGKS6","Rena H.","https://www.amazon.com/gp/profile/amzn1.account.AG2ERWBJMQUYZSKHP6NCJZTRWIRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R1SLQLH5MBGKS6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","UPDATE 6/27/24:  So as update, the seller did reach out to me and has been extremely apologetic over the quality control.  They have sent out a full replacement and I should be receiving that in the next few days.  I do not need to return the defective set.  I am extremely impressed with this level of customer service!  For that I have changed my review to 4 stars.  Looking forward to replacement pair.  After that, I’ll give it another month or two and hopefully update to five stars.<br><br>Original 6/24/24:  These ear buds were perfect for what I needed, good sound quality, easy to connect.<br><br>It was a little annoying to have to disconnect from one device in order to connect to a new device (laptop vs phone).  But once I got used to doing that, it wasn’t too bad.<br><br>For my level of use, they held the first charge for over a month.  I only was using them about an hour each day, and some days not even that.  So when I did finally need to charge them, it was past the 30 days for Amazon return.<br><br>And of course there was a problem.<br><br>After I fully charged them, the right ear bud no longer works.  After I removed from charging, when the display showed 100% for both earbuds, I connected but the right earbud didn’t work.  I put it back into the case and the case then didn’t even register the right ear bud.  I get the charge percentage for the left at 100%, but nothing shows for the right.<br><br>I tried cleaning the connections, resetting the case, nothing works.<br><br>I also tried reaching out to the company and never received a response.<br><br>They weren’t terribly expensive and they worked for what I needed them for (I was traveling and had forgotten my usual earbuds so needed a cheap, quick stand-in).  But it would have been nice if they had lasted longer than a month, or died before the return window.  Now they’re just junk!","Reviewed in the United States on June 24, 2024","Color: Black","Verified Purchase","5 people found this helpful","","","[]","[]"
"R2U1BA1LEYL4VQ","Omar H","https://www.amazon.com/gp/profile/amzn1.account.AE6NDMZ7AVCB66QFK4PPYJGSB4PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2U1BA1LEYL4VQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","These are light weight and stay firmly in place. Pairing was a snap and they last a long time. The sound quality is excellent for music. I haven't used them yet for phone calls.. I'm sure these will suffice for that..but my main purpose was for running and bike riding which they outperformed my expectations!","Reviewed in the United States on June 18, 2024","Color: Black","Verified Purchase","One person found this helpful","","","[]","[]"
"R3NADI6TSXT1ZW","MARCUS","https://www.amazon.com/gp/profile/amzn1.account.AE6V5EJ22AVSXREOW7JZBUQJCOEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3NADI6TSXT1ZW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","I purchased these earbuds a month ago and returned them.  The Bluetooth connection was absolutely horrible.  Their customer service team reached to me stating that they’ve corrected for the Bluetooth issue I was experiencing and would like to replace my original pair with a new set.<br><br>Well, they actually did it.  I’ve been listening for over an hour and I’ve yet to experience a single disconnector dropout.  These are Amazing!!  These ear buds are really rich in sound and very comfortable.  The deep base is important to me and these really deliver.<br><br>Thank you to the representative that reached out to me, he actually cared and I’m grateful.<br>I highly recommend these ear buds.  If anything was to goes wrong, customer service is there to assist you.","Reviewed in the United States on June 16, 2024","Color: Black","Verified Purchase","One person found this helpful","","","[]","[]"
"RLCOWNT8J1XY7","Megatron","https://www.amazon.com/gp/profile/amzn1.account.AGGLKWNKJWG3IQAHUHGVWFYDECGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RLCOWNT8J1XY7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","They're not entirely bad, in the sense that they do what you're supposed to (transmit audio), and the battery's not bad at all (haven't died on me once, and I listen for hours).<br><br>Sadly, the noise cancellation is virtually non-existent; you can turn them up all the way, and still hear (which is a good thing), but the problem is—you can still hear backgrounds louder than the buds. I dealt with two inconsiderate commuters on public transportation. A gentleman playing his music loudly from phone speaker, and a man who's was speaking loudly on a phone call; they took dominance over my spotify mix. Also, I tried to watch Dragon Ball Super at Chipotle, and the restaurant's music and activity, made it hard to hear my show.<br><br>The sound is alright, but not very impressive. Amazon lead me to believe that I got them for a heck of a discount.<br><br>Lastly, two more things: (1) they're not very comfortable but for so long, and (2) the touch pads are very difficult to get to work as they should (they almost need to be a little MORE sensitive)<br><br>Sadly, can't say I'm too happy with this purchase, but I need to keep it real.","Reviewed in the United States on July 4, 2024","Color: Black","Verified Purchase","One person found this helpful","","","[]","[]"
"R1Z7ZD6PQTM4Q1","Bradley Puckett","https://www.amazon.com/gp/profile/amzn1.account.AHURQ7OTMWOUIW3OSV6BIINYYZXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R1Z7ZD6PQTM4Q1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","Sound Quality 4.5/5<br>Fit and Feel 4/5<br>Build Quality 3.5/5 (nothing terrible just not great signs for longevity)<br>Sometimes the left earbud wont charge and it is only a few months old. The quality seems ok but it is not as nice as the name brands. The battery life is decent when it charges the left one, the pack itself has great battery life. Sometimes it is weird about pairing (it will pair one and not the other but a simple on off fixes it) or the volume will flake out a little when first paired, but that is uncommon and is not persistent. I am happy with the purchase after a a couple months and using them at around 30 times, but I am skeptic about longevity and owning them more than a like 1-2 years.  For the price it was absolutely worth it to me.","Reviewed in the United States on June 12, 2024","Color: Black","Verified Purchase","","","","[]","[]"
"R2HKAW1XKOO6GT","Quinn Hanlon","https://www.amazon.com/gp/profile/amzn1.account.AFELVOIB5B7JOPSRQ5QK74W6IGEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2HKAW1XKOO6GT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","You know, maybe it's on me for not taking the ""Deep Bass"" part of the item title as seriously as I should've. These are DEFINITELY v-shaped earbuds, and I was surprised when I played a jazz song and had the string bass, which I normally barely hear as it blends in, become the lead instrument. If you don't want potentially overwhelming bass then you'd have to pass on these, but I don't mind too much and it's really nice for some songs.<br><br>The battery life is really good. I have no clue about the earbuds without charging because I don't want to have them die on me while at the gym, but since getting them about five weeks ago I've used them for 1-2 hours a day three days a week and just today the case is down to 10% left so I'm recharging it.<br><br>I have some odd connection issues occasionally, but I honestly think that the hiccups are my phone just having bad blutooth since I've encountered it with other devices as well. The actual issue is that there's seemingly no way to turn these on or anything without the case. I once didn't check if they were on by starting music until I got into the gym only to learn that the left earbud wasn't on and couldn't be turned on, so I had to make a walk of shame back to my car to put them in the case, close it for a few seconds to make the connected earbud disconnect, reopen it, and then take them out again to have them both be connected, powered on, and synced.<br><br>Overall, they're comfortable enough (my left ear has a bit of a fuss with them but it's rarely actually a bother or anything) and the sound is nice. If you want good touch controls, however, then I'd hard pass on these and go for a fancier pair or something. I don't know why, but I can't figure out how to consistently get the touch controls to work. They make a beep when you tap them to register that it took the tap, but I just can't get them to consistently work so I have to pull my phone out to change volume, pause, or skip tracks.","Reviewed in the United States on June 20, 2024","Color: Black","Verified Purchase","3 people found this helpful","","","[]","[]"
"R1H369K82V3GS4","Terri Williams","https://www.amazon.com/gp/profile/amzn1.account.AGNU2TYBYAR6BHD5DVNPWLJQE4SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R1H369K82V3GS4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFX3X5KD","B0CFX3X5KD","I thought these would work out fine for mowing the yard.  Not so much.  First, before I do anything, I always charge up things.  Both the right and left were showing 98% charged but I went ahead and charged them anyway.  I then paired them with my iPod.  That was the easy part.<br><br>So I took them out when I went to mow on Tuesday (28 May).  I had my iPod in my pant pocket.  Now normally with my Air Pods, I don't have problems with them staying connected.  Not so with these.  The music would cut in and out and sometimes, one ear bud would have music and the other wouldn't.  BTW...these are not noise cancelling at all and I knew that when I bought them.<br><br>About 1 hour into my mow/weed whacking, the right ear bud stopped working.  I ended up going and getting the Air Pods (the reason I bought these was so I wouldn't have to use my expensive ear buds).<br><br>When I went back inside and put them in the charger, the right ear bud showed it basically was dead.  The left one had some charge left in it though.<br><br>So.  Lessons learned:  wear the iPod on the arm with arm band so the ear buds stay connected.  Be prepared to get Air Pods as these don't seem to hold a charge.  Don't believe the percentage on the holder/charger.  You get what you pay for.<br><br>Update:  I was pleasantly surprised.  The company contacted me about the issues and even went so far as to refund my money.  Then, they offered to send me an upgraded version of these for no charge (I declined).  I must say that the customer service is exceptional.  Hence the upgrade to 4 stars.","Reviewed in the United States on May 31, 2024","Color: Black","Verified Purchase","One person found this helpful","","","[]","[]"
